Código	Descrição	Unidade de Medida	Familia	Foto
100027	GERADOR PORTÁTIL, 3,6KVA, 380/220/127V	EA	GERADORES	100027.jpeg
100053	GERADOR 20KVA, 380/220/127V, GSCP006	EA	GERADORES	100053.jpeg
100056	GERADOR PORTATIL, 1,5KVA, 380/220/127V,	EA	GERADORES	100056.jpeg
110357	REG TENSÃO,1F,D,7,62,219A,167kVA,ET39	EA	REGULADORES	110357.jpeg
110569	TD,1F,7,967/0,24-0,12KV,25KVA,GST001	EA	TRANSFORMADORES NOVOS	110569.jpeg
110673	TRAFO DIST PEDESTAL,150KVA - À RECUPERAR	PEÇ	TRANSFORMADORES  À RECUPERAR	110673.jpeg
111246	TRAFO,DIST,MONO/BI/TRIF,3KVA,SUCATA	UN	TRANSFORMADORES SUCATA	111246.jpeg
111248	TRAFO,DIST,MONO/BI/TRIF,10KVA,INSERVÍVEL	PZ	TRANSFORMADORES SUCATA	111248.jpeg
111249	TRAFO,DIST,MONO/BI/TRIF,15KVA,INSERVÍVEL	PC	TRANSFORMADORES SUCATA	111249.jpeg
111253	TRAFO,DIST,MONO/BI/TRIF,37,5KVA,INSERV.	PC	TRANSFORMADORES SUCATA	111253.jpeg
111257	TRAFO,DIST,MONO/BI/TRIF,150KV,INSERVÍVEL	PZ	TRANSFORMADORES SUCATA	111257.jpeg
111268	TP,11,5KV/R3-2X115V,0,3P50,INT,PBR114010	UN	TRANSFORMADORES DE POTÊNCIA	111268.jpeg
111269	TP,13,8KV/R3-2X115V,0,3P50,INT,PBR114010	UN	TRANSFORMADORES DE POTÊNCIA	111269.jpeg
111271	TRAFO TRIFÁSICO 45KVA - SUC	PZ	TRANSFORMADORES SUCATA	111271.jpeg
111272	TRAFO DIST BIFÁSICO,10KVA - SUCATA	PZ	TRANSFORMADORES SUCATA	111272.jpeg
111273	TRAFO DIST BIFÁSICO,15KVA - SUCATA	PZ	TRANSFORMADORES SUCATA	111273.jpeg
111274	TRAFO TRIFÁSICO 30KVA - SUC	PZ	TRANSFORMADORES SUCATA	111274.jpeg
111306	TRAFO TRIFÁSICO 30KVA, DED-1844 I2 R4	PC	TRANSFORMADORES NOVOS	111306.jpeg
111307	TRAFO TRIFÁSICO 45KVA, DED-1844 I3 R4	PC	TRANSFORMADORES NOVOS	111307.jpeg
111308	TRAFO TRIFÁSICO 75KVA, DED-1844 I4 R4	PC	TRANSFORMADORES NOVOS	111308.jpeg
111311	TRAFO DIST BIFÁSICO,10KVA,DED-1847 I4 R4	PC	TRANSFORMADORES NOVOS	111311.jpeg
111312	TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904	PC	TRANSFORMADORES NOVOS	111312.jpeg
111316	TRAFO TRIF POTÊNCIA 500KVA,DED 1853 I1R3	PC	TRANSFORMADORES NOVOS	111316.jpeg
111317	TRAFO TRIF POTÊNCIA 750KVA,DED 1853 I2R3	PC	TRANSFORMADORES NOVOS	111317.jpeg
111319	TRAFO TRI 150KVA MINERAL, DED1832 I1R7	PC	TRANSFORMADORES NOVOS	111319.jpeg
111321	TRAFO TRI 300KVA MINERAL, DED1832 I3 R7	PC	TRANSFORMADORES NOVOS	111321.jpeg
111322	TRAFO DIST MONO,10KVA, DED-1847 I1 R4	PC	TRANSFORMADORES NOVOS	111322.jpeg
111323	TRAFO DIST MONO,15KVA, DED-1847 I2 R4	PC	TRANSFORMADORES NOVOS	111323.jpeg
111327	TRAFO DIST MONO RURAL,5KVA,DED-1937 I1R1	PC	TRANSFORMADORES NOVOS	111327.jpeg
111350	TRAFO TRIFÁSICO 15KVA - RECUPERADO	PC	TRANSFORMADORES RECUPERADOS	111350.jpeg
111351	TRAFO TRIFÁSICO 30KVA - RECUPERADO	PC	TRANSFORMADORES RECUPERADOS	111351.jpeg
111352	TRAFO TRIFÁSICO 45KVA - RECUPERADO	PC	TRANSFORMADORES RECUPERADOS	111352.jpeg
111353	TRAFO TRIFÁSICO 75KVA - RECUPERADO	PC	TRANSFORMADORES RECUPERADOS	111353.jpeg
111354	TRAFO TRIFÁSICO 112-5KVA - RECUPERADO	PC	TRANSFORMADORES RECUPERADOS	111354.jpeg
111355	TRAFO DIST BIFÁSICO-10KVA - RECUPERADO	PC	TRANSFORMADORES RECUPERADOS	111355.jpeg
111356	TRAFO DIST BIFÁSICO-15KVA - RECUPERADO	PC	TRANSFORMADORES RECUPERADOS	111356.jpeg
111357	TRAFO DIST BIFÁSICO-25KVA - RECUPERADO	PC	TRANSFORMADORES RECUPERADOS	111357.jpeg
111358	TRAFO TRI 150KVA MINERAL - RECUPERADO	PC	TRANSFORMADORES RECUPERADOS	111358.jpeg
111359	TRAFO TRI 225KVA MINERAL - RECUPERADO	PC	TRANSFORMADORES RECUPERADOS	111359.jpeg
111360	TRAFO TRI 300KVA MINERAL - RECUPERADO	PC	TRANSFORMADORES RECUPERADOS	111360.jpeg
111361	TRAFO DIST MONO-10KVA - RECUPERADO	PC	TRANSFORMADORES RECUPERADOS	111361.jpeg
111362	TRAFO DIST MONO-15KVA - RECUPERADO	PC	TRANSFORMADORES RECUPERADOS	111362.jpeg
111363	TRAFO DIST MONO-25KVA - RECUPERADO	PC	TRANSFORMADORES RECUPERADOS	111363.jpeg
111365	TRAFO DIST MONO RURAL-5KVA - RECUPERADO	PC	TRANSFORMADORES RECUPERADOS	111365.jpeg
111366	TRAFO DIST BIF RURAL-5KVA - RECUPERADO	PC	TRANSFORMADORES RECUPERADOS	111366.jpeg
111367	TRAFO TRIF POTÊNCIA 500KVA-RECUPERADO	PC	TRANSFORMADORES RECUPERADOS	111367.jpeg
111368	TRAFO TRIFÁSICO 15KVA-À RECUPERAR	PC	TRANSFORMADORES  À RECUPERAR	111368.jpeg
111369	TRAFO TRIFÁSICO 30KVA-À RECUPERAR	PC	TRANSFORMADORES  À RECUPERAR	111369.jpeg
111370	TRAFO TRIFÁSICO 45KVA-À RECUPERAR	PC	TRANSFORMADORES  À RECUPERAR	111370.jpeg
111371	TRAFO TRIFÁSICO 75KVA-À RECUPERAR	PC	TRANSFORMADORES  À RECUPERAR	111371.jpeg
111372	TRAFO TRIFÁSICO 112,5KVA-À RECUPERAR	PC	TRANSFORMADORES  À RECUPERAR	111372.jpeg
111373	TRAFO DIST BIFÁSICO,10KVA-À RECUPERAR	PC	TRANSFORMADORES  À RECUPERAR	111373.jpeg
111374	TRAFO DIST BIFÁSICO,15KVA-À RECUPERAR	PC	TRANSFORMADORES  À RECUPERAR	111374.jpeg
111375	TRAFO DIST BIFÁSICO,25KVA-À RECUPERAR	PC	TRANSFORMADORES  À RECUPERAR	111375.jpeg
111377	TRAFO TRI 75KVA AMB AGRES-À RECUPERAR	PC	TRANSFORMADORES  À RECUPERAR	111377.jpeg
111378	TRAFO TRI 150KVA MINERAL-À RECUPERAR	PC	TRANSFORMADORES  À RECUPERAR	111378.jpeg
111379	TRAFO TRI 225KVA MINERAL-À RECUPERAR	PC	TRANSFORMADORES  À RECUPERAR	111379.jpeg
111380	TRAFO TRI 300KVA MINERAL-À RECUPERAR	PC	TRANSFORMADORES  À RECUPERAR	111380.jpeg
111381	TRAFO DIST MONO,10KVA-À RECUPERAR	PC	TRANSFORMADORES  À RECUPERAR	111381.jpeg
111382	TRAFO DIST MONO,15KVA-À RECUPERAR	PC	TRANSFORMADORES  À RECUPERAR	111382.jpeg
111383	TRAFO DIST MONO,25KVA-À RECUPERAR	PC	TRANSFORMADORES  À RECUPERAR	111383.jpeg
111384	TRAFO TRI 112,5KVA AMB AGRES-À RECUPERAR	PC	TRANSFORMADORES  À RECUPERAR	111384.jpeg
111385	TRAFO DIST MONO RURAL,5KVA-À RECUPERAR	PC	TRANSFORMADORES  À RECUPERAR	111385.jpeg
111386	TRAFO DIST BIF RURAL,5KVA-À RECUPERAR	PC	TRANSFORMADORES  À RECUPERAR	111386.jpeg
111387	TRAFO TRIF POTÊNCIA 500KVA-À RECUPERAR	PC	TRANSFORMADORES  À RECUPERAR	111387.jpeg
111409	TRAFO TRI 300KVA MINERAL CENTRO SAT- REC	PC	TRANSFORMADORES RECUPERADOS	111409.jpeg
111410	TRAFORMADOR TRIFÁSICO 45KVA CENTRO SAT RECUPERADO	PC	TRANSFORMADORES RECUPERADOS	111410.jpeg
111610	TRAFO,3F,15KVA,14145/330-572V,GST001	PC	TRANSFORMADORES NOVOS	111610.jpeg
111611	TRAFO,3F,30KVA,14145/330-572V,GST001	PC	TRANSFORMADORES NOVOS	111611.jpeg
111612	TRAFO,3F,45KVA,14145/330-572V,GST001	PC	TRANSFORMADORES NOVOS	111612.jpeg
111682	TRAFO,3F,30KVA,14145/330-572V-RECUPERADO	PC	TRANSFORMADORES RECUPERADOS	111682.jpeg
111688	TRAFO,3F,DIST,15kVA,REC,10,8KV,GST001	PC	TRANSFORMADORES RECUPERADOS	111688.jpeg
111689	TRAFO,3F,DIST,30kVA,REC,10,8KV,GST001	PC	TRANSFORMADORES RECUPERADOS	111689.jpeg
111690	TRAFO,3F,DIST,45kVA,REC,10.8KV,GST001	PC	TRANSFORMADORES RECUPERADOS	111690.jpeg
111691	TRAFO,3F,DIST,75kVA,REC,10.8KV,GST001	PC	TRANSFORMADORES RECUPERADOS	111691.jpeg
111692	TRAFO,3F,DIST,112,5kVA,REC,10.8KV,GST001	PC	TRANSFORMADORES RECUPERADOS	111692.jpeg
